75873,70,17,167,782,2060,13798,5,190,38
44,11122,884,1083,501,258,37,5,41,12
9,25,571,976,69,649,6,2,14,8
117,128,5143,7207,1550,1901,105,6,100,96
532,1605,6518,8745,23253,2731,495,56,236,354
65,4,1047,956,49,554,2,0,0,0
2618,45,1428,954,363,493,18111,1,175,58
2,2,2,1,46,0,2,110,0,9
71,37,14,70,113,0,127,1,1072,6
33,11,162,271,383,38,64,9,20,57880
