mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__criterion,param_tree__max_depth,param_tree__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6.587013244628906,3.4516860339591653,0.12416343688964844,0.05898471628633332,gini,10,1,"{'tree__criterion': 'gini', 'tree__max_depth': 10, 'tree__min_samples_leaf': 1}",0.5106349199643163,0.5202984818796506,0.5211792769669172,0.5083014347610412,0.515075702886328,0.5150979632916506,0.005101760890826112,29
15.457611656188964,3.65338978231885,0.21842379570007325,0.09042301726214448,gini,10,5,"{'tree__criterion': 'gini', 'tree__max_depth': 10, 'tree__min_samples_leaf': 5}",0.5107252616952191,0.5198979916420817,0.5210572344906396,0.5080515127772057,0.5147327846638593,0.514892957053801,0.005044787153773805,30
11.88257303237915,3.4359903144812396,0.2155618667602539,0.10413422374081287,gini,10,20,"{'tree__criterion': 'gini', 'tree__max_depth': 10, 'tree__min_samples_leaf': 20}",0.5088271764257998,0.5179635686876767,0.5183480095893137,0.5057100706245216,0.5122981139179571,0.5126293878490538,0.004971913611589827,31
12.417394781112671,4.049349890518265,0.2429969310760498,0.10149039183717988,gini,10,50,"{'tree__criterion': 'gini', 'tree__max_depth': 10, 'tree__min_samples_leaf': 50}",0.5007662767594049,0.5107255722020351,0.5121276668920157,0.5026205587437459,0.5084735458498739,0.506942724089415,0.004480325922684217,37
16.18007712364197,4.718336191742401,0.17792048454284667,0.052287882768719283,gini,20,1,"{'tree__criterion': 'gini', 'tree__max_depth': 20, 'tree__min_samples_leaf': 1}",0.5632576143408995,0.5699054366622447,0.5846768523265489,0.5560230483802922,0.5668470381603459,0.5681419979740662,0.00947538060572042,4
10.410788249969482,3.6309517458435336,0.1448451042175293,0.06293542416720173,gini,20,5,"{'tree__criterion': 'gini', 'tree__max_depth': 20, 'tree__min_samples_leaf': 5}",0.5742586350216197,0.5760844798018799,0.5850768159256308,0.5513880495015864,0.5709005047369422,0.5715416969975318,0.011115742954367609,3
12.236610841751098,4.046237125307785,0.18152832984924316,0.08781794517643712,gini,20,20,"{'tree__criterion': 'gini', 'tree__max_depth': 20, 'tree__min_samples_leaf': 20}",0.5434393558752022,0.537388200833035,0.5437893189620341,0.5232647336996971,0.5385015001164641,0.5372766218972865,0.007459762737677295,20
11.395838928222656,4.125681718809901,0.14752187728881835,0.08323279004638737,gini,20,50,"{'tree__criterion': 'gini', 'tree__max_depth': 20, 'tree__min_samples_leaf': 50}",0.5091068021189159,0.5031335003553794,0.5125123235203662,0.502582011590381,0.5093736509923933,0.5073416577154871,0.0038559910765394905,36
16.15973491668701,1.5726890881745683,0.23702139854431153,0.057383627923524375,gini,30,1,"{'tree__criterion': 'gini', 'tree__max_depth': 30, 'tree__min_samples_leaf': 1}",0.5450202391172411,0.5537215896164914,0.5764785101528133,0.5532346326356811,0.5493569246347974,0.5555623792314048,0.010917287467855669,14
13.711607360839844,4.262241179110752,0.2249631404876709,0.08750748962298788,gini,30,5,"{'tree__criterion': 'gini', 'tree__max_depth': 30, 'tree__min_samples_leaf': 5}",0.5583219176228938,0.5612304858199865,0.5727931896108489,0.5458726040256693,0.5593862197140753,0.5595208833586948,0.00856513906147147,11
16.144758701324463,1.7256183820369884,0.19985713958740234,0.09900905767186856,gini,30,20,"{'tree__criterion': 'gini', 'tree__max_depth': 30, 'tree__min_samples_leaf': 20}",0.5290438578616816,0.52617190876405,0.5300137496677133,0.521786553816255,0.5296690943154603,0.5273370328850321,0.003088103199736665,27
14.906687498092651,2.1215876078120877,0.20636544227600098,0.12998318951248364,gini,30,50,"{'tree__criterion': 'gini', 'tree__max_depth': 30, 'tree__min_samples_leaf': 50}",0.5059027579257936,0.5004527803103693,0.5047533009705572,0.5024013756520975,0.5030933318943172,0.5033207093506269,0.0018889777939858003,38
