metric,knn_mean,knn_std,tree_mean,tree_std,wilcoxon_stat,wilcoxon_p,t_stat,t_p_value
test_accuracy,0.8019401868491065,0.001455421421465484,0.7592348918047384,0.004782230735138928,0.0,6.103515625e-05,-33.522954906242425,8.993809686387857e-15
test_f1_macro,0.5250267806852879,0.0048942125478623885,0.5757102477899623,0.006323666296130239,0.0,6.103515625e-05,22.963131956601877,1.640207877542862e-12
test_f1_weighted,0.7994570696714661,0.0013252805586427008,0.7903126298637104,0.0029663231930805215,0.0,6.103515625e-05,-12.075106199769536,8.633081368238648e-09
test_balanced_accuracy,0.5072378164451609,0.0037308434062591008,0.6085918231024239,0.008016034608466959,0.0,6.103515625e-05,49.82684619937852,3.6602385223729077e-17
