mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__metric,param_knn__n_neighbors,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.8667314529418946,0.3868312455726522,160.87362775802612,21.36646726069007,euclidean,3,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__weights': 'uniform'}",0.4910004613527524,0.4869070119684459,0.4882795257464478,0.48475520618917656,0.48916172153206555,0.4880207853577776,0.0021048348841057117,15
1.2669790267944336,0.589926805994158,181.54575810432434,5.882378408400841,euclidean,3,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 3, 'knn__weights': 'distance'}",0.4980812882784963,0.5050224494685578,0.4948529940802513,0.49206675641299846,0.49666225303901435,0.4973371482558636,0.004336384088209898,12
1.2409668922424317,0.372417548695261,176.16663522720336,8.801503896870495,euclidean,5,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__weights': 'uniform'}",0.49119584066100097,0.4989811930780359,0.49382486199138864,0.4961022144541928,0.5013606534082662,0.4962929527185769,0.0036060125002867196,13
1.6210106372833253,0.5298913627694404,163.13277502059935,20.307947598777343,euclidean,5,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 5, 'knn__weights': 'distance'}",0.5114818674951819,0.5172036566914933,0.5076728463035263,0.5045241054420713,0.5114704113135381,0.5104705774491622,0.004255456739092013,4
1.6506577491760255,1.0550211055003238,147.55476636886596,30.632356772821502,euclidean,9,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 9, 'knn__weights': 'uniform'}",0.4891357203481138,0.4889554593220572,0.4831489691817855,0.47641371265945026,0.49908688936210294,0.487348150174702,0.007493622519397161,16
0.7772425651550293,0.31605147953984575,104.13103914260864,6.097317706398387,euclidean,9,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 9, 'knn__weights': 'distance'}",0.5083670943973149,0.5066159710109928,0.4943228530296103,0.5028749082873232,0.5157048412168845,0.5055771335884252,0.007005631717235142,7
0.6831570148468018,0.2413611219963609,111.29270281791688,5.3781360424259645,euclidean,15,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 15, 'knn__weights': 'uniform'}",0.4826357169546459,0.4815207151923424,0.47614068046869484,0.47489919434771544,0.48826252535135284,0.4806917664629503,0.00481765015528847,19
0.4442250728607178,0.04881678269640721,105.20717816352844,6.315764787683728,euclidean,15,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 15, 'knn__weights': 'distance'}",0.5030217448852018,0.5023143471599962,0.4900166251987397,0.4937552517605777,0.5108303615504604,0.4999876661109951,0.007354560063172144,10
0.47679800987243653,0.056067587198997924,105.41466999053955,9.527289847419299,euclidean,25,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 25, 'knn__weights': 'uniform'}",0.4694087101662596,0.46407126022766587,0.464108718508096,0.45725677408764787,0.46182664428360753,0.4633344214546554,0.003930665088036058,23
0.4782306671142578,0.15545655224573177,98.15700454711914,12.038899000592545,euclidean,25,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 25, 'knn__weights': 'distance'}",0.4958187855687438,0.48682503103281827,0.4811617953676377,0.4772576899735032,0.49140914879812125,0.48649449014816487,0.0067076333099110215,17
0.39954218864440916,0.05315424719857287,89.17067475318909,8.733466754466045,euclidean,35,uniform,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 35, 'knn__weights': 'uniform'}",0.4603362562183458,0.4594510059668478,0.4571510442070049,0.45130158807437015,0.45574632408189225,0.4567972437096922,0.0031937094849704465,24
0.4754375457763672,0.05216756549717368,96.53581757545471,8.664812399906571,euclidean,35,distance,"{'knn__metric': 'euclidean', 'knn__n_neighbors': 35, 'knn__weights': 'distance'}",0.48371596071897016,0.4787591221732477,0.4753493010053112,0.47336545103431227,0.4765475933784635,0.4775474856620609,0.0035451195058730724,20
0.4658788204193115,0.05165914530732306,661.2638483047485,57.384900700528284,manhattan,3,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'uniform'}",0.49692571028143356,0.5046904767455673,0.5034419003012293,0.49524773796473925,0.5096379899333872,0.5019887630452713,0.005272522341624774,8
0.4468517780303955,0.049378049744572584,696.4287504673005,24.783735094820337,manhattan,3,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 3, 'knn__weights': 'distance'}",0.5104080588934636,0.5227929252541188,0.5129790404520647,0.5032168873141465,0.5196689471230709,0.5138131718073728,0.006920952111495255,3
0.390041446685791,0.05866431399126065,652.2168550014496,36.19801969740091,manhattan,5,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'uniform'}",0.5019059741319214,0.5138288463639997,0.5036425903550579,0.504317646732529,0.5252871263104104,0.5097964367787837,0.008790542146960716,5
0.3577238082885742,0.036669071999199124,635.1941397666931,34.3662223388704,manhattan,5,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 5, 'knn__weights': 'distance'}",0.5235061942774262,0.5333445319060621,0.5248372804684419,0.5206482358126866,0.5295524520575612,0.5263777389044357,0.0045179861608560315,1
0.3899256229400635,0.038790817471764424,679.0164445400238,46.49460235601214,manhattan,9,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 9, 'knn__weights': 'uniform'}",0.4925190687688524,0.4977711632871983,0.49620807034860376,0.5009429552197,0.5142187555135916,0.5003320026275893,0.007454150787804767,9
0.38150768280029296,0.028025781733219242,637.2055780410767,60.93918102245173,manhattan,9,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 9, 'knn__weights': 'distance'}",0.5221885482246953,0.5212606578800808,0.5054748412289092,0.5270284065307616,0.5246500107168243,0.5201204929162542,0.00759352018844644,2
0.3765517234802246,0.029772062426458832,668.417402458191,45.40865439853013,manhattan,15,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 15, 'knn__weights': 'uniform'}",0.4864108737358981,0.48487868573270176,0.4869919279082745,0.483710399423503,0.4889164978643529,0.48618167693294606,0.0017884787916527271,18
0.39511814117431643,0.038315603309874796,674.8662527561188,52.97658311543969,manhattan,15,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 15, 'knn__weights': 'distance'}",0.5078881886746205,0.5063720908139454,0.5000660545876052,0.503481082505002,0.5156129447421085,0.5066840722646563,0.005202485825971021,6
0.3760789394378662,0.030526685896647816,661.7391439914703,26.704336839737483,manhattan,25,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 25, 'knn__weights': 'uniform'}",0.4818846518796319,0.47724220787747607,0.47956975075568103,0.4711297758377232,0.47768389600169714,0.47750205647044186,0.003582988963041313,21
0.3782181739807129,0.028091640855041282,627.9817848205566,70.94038347959285,manhattan,25,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 25, 'knn__weights': 'distance'}",0.5037927968183435,0.4962128317162585,0.49464703104925717,0.4935156503464235,0.5013570419291693,0.49790507037189047,0.003983137717828386,11
0.3445572376251221,0.02883010673512911,466.9193768501282,48.89538870587021,manhattan,35,uniform,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 35, 'knn__weights': 'uniform'}",0.47441293335720375,0.4696502473544043,0.47132847529325445,0.46432940108796983,0.4709314684508256,0.47013050510873156,0.0032954308341091375,22
0.3733530521392822,0.03676295842904475,425.4865429878235,20.168017271898627,manhattan,35,distance,"{'knn__metric': 'manhattan', 'knn__n_neighbors': 35, 'knn__weights': 'distance'}",0.500550507807709,0.4913141471846213,0.48977999920709625,0.4887046346659143,0.49102077327663646,0.49227401242839547,0.00424153003009095,14
